Un chat coincé dans un arbre depuis 3 jours mobilise les pompiers du quartier. L'animal, prénommé Mistigri par les voisins, refuse obstinément de descendre malgré les tentatives avec de la nourriture et une échelle. Les riverains commencent à organiser une pétition pour exiger une intervention plus musclée. Le maire promet une réponse "dans les meilleurs délais".;0;Rien

Le concours de tarte aux pommes de la mairie tourne au scandale. Deux boulangers s'accusent mutuellement d'avoir triché sur la recette, l'un affirmant que l'autre a utilisé de la compote industrielle. Le jury, composé de trois retraités du quartier, se retrouve pris entre deux feux. Une contre-expertise est envisagée pour l'année prochaine.;0;Rien

Un festival de musique électro annoncé pour l'été prochain dans la région. Les organisateurs promettent une programmation internationale avec plusieurs têtes d'affiche encore tenues secrètes. La billetterie ouvre dans deux semaines et les premières places pourraient partir très vite selon les rumeurs. Un partenariat avec les commerces locaux est également à l'étude.;0;Rien

Une exposition de peinture contemporaine attire des foules inattendues au musée local. Les œuvres, mêlant collages et installations numériques, divisent autant qu'elles fascinent. Les critiques restent partagés sur la qualité des œuvres, certains parlant de génie, d'autres de mauvaise blague. L'exposition sera prolongée d'un mois face à l'affluence.;0;Rien

Un nouveau restaurant fusion coréen-mexicain ouvre en centre-ville. Le chef, formé à Séoul puis à Oaxaca, propose une carte audacieuse mêlant tacos au kimchi et bibimbap revisité. Les avis en ligne oscillent entre "génial" et "n'importe quoi", sans juste milieu apparent. Une file d'attente s'est déjà formée dès le premier soir.;0;Rien

Le club de football amateur du coin remporte enfin un match après 12 défaites consécutives. La victoire, arrachée dans les dernières minutes, a déclenché des scènes de liesse improbables sur le terrain. L'entraîneur évoque un "tournant psychologique" pour le reste de la saison. Les supporters, eux, parlent déjà de miracle.;0;Rien

Une application de rencontre pour amateurs de jeux de société cartonne chez les jeunes adultes. Le principe : matcher les utilisateurs selon leurs jeux préférés plutôt que sur leur physique. Plus de 50 000 téléchargements en une semaine, un chiffre qui a surpris jusqu'aux créateurs eux-mêmes. Plusieurs soirées de rencontre physiques sont désormais organisées dans les grandes villes.;0;Rien

Un youtubeur local devient viral en filmant sa collection de 400 boîtes de céréales. La vidéo, censée durer dix minutes, s'est transformée en véritable saga de deux heures suivie par des centaines de milliers de curieux. Les marques commencent à le contacter flairant un potentiel de sponsoring inattendu. Lui affirme vouloir rester "fidèle à sa passion".;1;Rien

La bibliothèque municipale prolonge ses horaires d'ouverture le week-end. La décision fait suite à une forte demande des étudiants en période d'examens, qui manquaient cruellement d'espaces calmes pour réviser. Les étudiants saluent la décision, certains évoquant même une pétition victorieuse. Un service de prêt de matériel informatique pourrait suivre.;0.Rien

Un vol de nains de jardin en série inquiète un lotissement résidentiel. Une dizaine de figurines ont disparu en l'espace de deux semaines, laissant les propriétaires perplexes et un peu agacés. La police enquête, sans grande conviction apparemment, évoquant plutôt une farce d'adolescents du quartier. Certains habitants ont depuis équipé leur jardin de caméras.;0;Rien

Un influenceur bien-être conseille de dormir avec un oignon sous l'oreiller. Selon lui, la méthode ancestrale favoriserait un sommeil plus profond et purifierait l'air de la chambre. Les médecins tentent, en vain, de calmer l'engouement, rappelant l'absence totale de preuve scientifique. Les ventes d'oignons ont pourtant légèrement augmenté sur les marchés locaux.;0;Rien

La météo annonce un été particulièrement pluvieux pour la région. Les prévisionnistes évoquent un phénomène climatique inhabituel qui pourrait perturber les vacances de nombreux habitants. Les organisateurs d'événements extérieurs s'inquiètent déjà et commencent à envisager des plans B sous tentes couvertes. Les vendeurs de parapluies, eux, se frottent les mains.;0;Rien

Un couple se marie en pleine partie de laser game, à la surprise générale des invités. La demande en mariage avait déjà eu lieu quelques mois plus tôt, mais les mariés avaient gardé la cérémonie secrète jusqu'au dernier moment. La vidéo cumule des milliers de vues, entre rires et attendrissement général. Les mariés affirment vouloir "rester fidèles à leur passion commune".;0;Rien

Une nouvelle salle d'escape game basée sur des énigmes mathématiques ouvre ses portes. Le concept, pensé par d'anciens professeurs, propose des énigmes de logique et de calcul plutôt que les traditionnels indices cachés. Le concept séduit les enseignants du coin, qui y voient un outil pédagogique original pour leurs élèves. Plusieurs classes ont déjà réservé des sessions.0;Rien

Un chien errant devenu mascotte officieuse d'un quartier reçoit enfin un nom grâce à un vote des habitants. L'animal, présent dans les rues depuis plusieurs mois, était nourri à tour de rôle par les commerçants et les riverains. Il s'appellera désormais "Nougat", nom choisi à une large majorité lors d'un vote organisé sur les réseaux sociaux du quartier. Une collecte est même envisagée pour lui offrir une niche digne de ce nom.0;Rien
